checkpoint	epoch	class	bin	low	high	count	mean_confidence	positive_rate	abs_gap	brier	ece
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	4	0.4	0.5	3873	0.4542128166547894	0.0005163955589981926	0.4536964210957912	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	5	0.5	0.6000000000000001	6571	0.5472666049562366	0.00030436767615279255	0.5469622372800838	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	6	0.6000000000000001	0.7000000000000001	2262	0.6315679982844756	0.003978779840848806	0.6275892184436268	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	7	0.7000000000000001	0.8	584	0.750171901530599	0.16267123287671234	0.5875006686538866	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	8	0.8	0.9	1685	0.8519477974413411	0.011275964391691394	0.8406718330496497	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt	3	sa1	9	0.9	1.0	1796	0.9653007990798865	0.133630289532294	0.8316705095475925	0.23374567381819925	0.4211215311514697
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	0	0.0	0.1	14890	0.07175078957477338	0.0	0.07175078957477338	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	1	0.1	0.2	14795	0.14430270468052597	0.0	0.14430270468052597	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	2	0.2	0.30000000000000004	2174	0.22716916380612917	0.0	0.22716916380612917	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	3	0.30000000000000004	0.4	210	0.32704173567749206	0.0	0.32704173567749206	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	4	0.4	0.5	136	0.47159526847741184	0.0	0.47159526847741184	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	5	0.5	0.6000000000000001	80	0.5285685911774636	0.0	0.5285685911774636	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	6	0.6000000000000001	0.7000000000000001	33	0.6483462525136543	0.0	0.6483462525136543	0.022398008740020726	0.12446557598036811
autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt	4	sa0	7	0.7000000000000001	0.8	115	0.7631899486417356	0.008695652173913044	0.7544942964678226	0.022398008740020726	0.12446557598036811
