checkpoint	score_field	benchmark_id	state_id	prefix_step	candidate_count	selected_action	selected_type	best_action	best_type	top1_hit	type_hit	selected_delta_tc_pp	best_delta_tc_pp	top1_regret_pp	negative_top1	spearman	pairwise_accuracy
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0008	8	9	__aig_and_1009::control1	control1	__aig_and_7178::observe	observe	0	0	0.034999999999996145	5.659999999999998	5.625000000000002	0	-0.8366600265340756	0.0
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0008	8	9	__aig_and_7132::observe	observe	__aig_and_7178::observe	observe	0	1	0.06999999999999229	5.659999999999998	5.590000000000006	0	0.7768985960673559	0.9
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0012	12	9	__aig_and_7178::observe	observe	__aig_and_7178::observe	observe	1	1	5.525000000000002	5.525000000000002	0.0	0	0.6151857064768763	0.7586206896551724
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0012	12	9	__aig_not_963::control0	control0	__aig_and_7178::observe	observe	0	0	0.07000000000000339	5.525000000000002	5.454999999999998	0	-0.26860220987018546	0.41379310344827586
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0012	12	9	__aig_and_7178::observe	observe	__aig_and_7178::observe	observe	1	1	5.525000000000002	5.525000000000002	0.0	0	0.9617692030835673	1.0
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0016	16	9	__aig_and_7178::observe	observe	__aig_and_7178::observe	observe	1	1	6.257000000000012	6.257000000000012	0.0	0	0.57186276940104	0.7241379310344828
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0016	16	9	__aig_not_963::control0	control0	__aig_and_7178::observe	observe	0	0	0.039999999999995595	6.257000000000012	6.2170000000000165	0	-0.32925432177635633	0.41379310344827586
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0016	16	9	__aig_and_7178::observe	observe	__aig_and_7178::observe	observe	1	1	6.257000000000012	6.257000000000012	0.0	0	0.8058066296105564	0.896551724137931
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0024	24	9	__aig_not_7177::observe	observe	__aig_and_7178::observe	observe	0	1	5.992000000000008	5.992000000000008	0.0	0	0.5270462766947299	0.7142857142857143
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0024	24	9	new_n3820::control0	control0	__aig_and_7178::observe	observe	0	0	-0.23599999999999177	5.992000000000008	6.228	1	-0.5797509043642028	0.21428571428571427
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0024	24	9	__aig_not_7177::observe	observe	__aig_and_7178::observe	observe	0	1	5.992000000000008	5.992000000000008	0.0	0	0.7115124735378854	0.8214285714285714
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0045	prefix_0031	31	9	__aig_and_7178::observe	observe	__aig_and_7178::observe	observe	1	1	5.7669999999999995	5.7669999999999995	0.0	0	0.44459061923690013	0.6774193548387096
cone_rank_best_final_horizon	typed_return_pred	subckt_0045	prefix_0031	31	9	__aig_and_1005::control0	control0	__aig_and_7178::observe	observe	0	0	0.04599999999999049	5.7669999999999995	5.721000000000009	0	-0.5129891760425771	0.2903225806451613
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0045	prefix_0031	31	9	__aig_and_7166::observe	observe	__aig_and_7178::observe	observe	0	1	4.415999999999998	5.7669999999999995	1.3510000000000018	0	0.9233805168766387	0.9354838709677419
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0063	prefix_0001	1	9	__aig_and_11960::observe	observe	new_n1228::control1	control1	0	0	2.2009999999999974	4.4869999999999965	2.285999999999999	0	0.1044465935734187	0.5666666666666667
cone_rank_best_final_horizon	typed_return_pred	subckt_0063	prefix_0001	1	9	new_n1228::control1	control1	new_n1228::control1	control1	1	1	4.4869999999999965	4.4869999999999965	0.0	0	-0.13926212476455826	0.43333333333333335
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0063	prefix_0001	1	9	__aig_and_11950::observe	observe	new_n1228::control1	control1	0	0	0.8589999999999987	4.4869999999999965	3.627999999999998	0	-0.5048252022715237	0.26666666666666666
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0063	prefix_0002	2	9	__aig_and_11964::observe	observe	new_n1236::control1	control1	0	0	1.4800000000000035	3.7450000000000094	2.265000000000006	0	-0.33074754631582587	0.4
cone_rank_best_final_horizon	typed_return_pred	subckt_0063	prefix_0002	2	9	new_n1236::control1	control1	new_n1236::control1	control1	1	1	3.7450000000000094	3.7450000000000094	0.0	0	-0.17407765595569785	0.4
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0063	prefix_0002	2	9	__aig_and_11950::observe	observe	new_n1236::control1	control1	0	0	0.8179999999999965	3.7450000000000094	2.927000000000013	0	-0.9574271077563381	0.0
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0063	prefix_0004	4	9	__aig_and_11998::observe	observe	__aig_and_11998::observe	observe	1	1	8.187	8.187	0.0	0	-0.3235175552619844	0.27586206896551724
cone_rank_best_final_horizon	typed_return_pred	subckt_0063	prefix_0004	4	9	new_n1234::control1	control1	__aig_and_11998::observe	observe	0	0	2.9830000000000023	8.187	5.203999999999997	0	-0.28854268442285097	0.3793103448275862
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0063	prefix_0004	4	9	__aig_and_11950::observe	observe	__aig_and_11998::observe	observe	0	1	0.7670000000000066	8.187	7.419999999999993	0	-0.3497487083913345	0.3793103448275862
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0063	prefix_0008	8	9	__aig_and_11994::observe	observe	__aig_and_11994::observe	observe	1	1	5.663999999999991	5.663999999999991	0.0	0	0.766938357656236	0.95
cone_rank_best_final_horizon	typed_return_pred	subckt_0063	prefix_0008	8	9	__aig_and_1929::control1	control1	__aig_and_11994::observe	observe	0	0	0.036999999999998145	5.663999999999991	5.626999999999993	0	-0.8366600265340756	0.0
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0063	prefix_0008	8	9	__aig_and_11948::observe	observe	__aig_and_11994::observe	observe	0	1	0.3849999999999909	5.663999999999991	5.279	0	0.7768985960673559	0.9
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0063	prefix_0012	12	9	__aig_and_11994::observe	observe	__aig_and_11994::observe	observe	1	1	5.529000000000006	5.529000000000006	0.0	0	0.6151857064768763	0.7586206896551724
cone_rank_best_final_horizon	typed_return_pred	subckt_0063	prefix_0012	12	9	__aig_not_1883::control0	control0	__aig_and_11994::observe	observe	0	0	0.07399999999999629	5.529000000000006	5.45500000000001	0	-0.26860220987018546	0.41379310344827586
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0063	prefix_0012	12	9	__aig_and_11994::observe	observe	__aig_and_11994::observe	observe	1	1	5.529000000000006	5.529000000000006	0.0	0	0.9617692030835673	1.0
cone_rank_best_final_horizon	typed_marginal_pred	subckt_0063	prefix_0016	16	9	__aig_and_11994::observe	observe	__aig_and_11994::observe	observe	1	1	6.260999999999994	6.260999999999994	0.0	0	0.57186276940104	0.7241379310344828
cone_rank_best_final_horizon	typed_return_pred	subckt_0063	prefix_0016	16	9	__aig_not_1883::control0	control0	__aig_and_11994::observe	observe	0	0	0.041999999999997595	6.260999999999994	6.218999999999996	0	-0.41590019592802907	0.3448275862068966
cone_rank_best_final_horizon	typed_sa_reduction_total_pred	subckt_0063	prefix_0016	16	9	__aig_and_11994::observe	observe	__aig_and_11994::observe	observe	1	1	6.260999999999994	6.260999999999994	0.0	0	0.8058066296105564	0.896551724137931
