rank,combo,label,best_hard_f1,best_epoch,n_runs,best_source,best_checkpoint
58,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlbce__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=BCE, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.298910,4,1,autoresearch/core-component-ablation-260626-run-loss-bce/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlbce__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-loss-bce/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlbce__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
59,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmrandom__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=random, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.293278,3,1,autoresearch/core-component-ablation-260626-run-mining-random/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmrandom__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-mining-random/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmrandom__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
60,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tsshuffle__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=shuffle, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.0, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.290111,3,1,autoresearch/core-component-ablation-260626-run-sampling-shuffle/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tsshuffle__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/core-component-ablation-260626-run-sampling-shuffle/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tsshuffle__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
61,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.0, asl_gn=4.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.283763,-2,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
62,lh0p5__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p5__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.5, lhc=0.12, lh=0.5, lhr=0.5",0.275815,-2,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p5__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p5__lhc0p12__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p5__fc0p0/best.pt
63,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.02, brier=0.02, asl_gn=2.0, asl_clip=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.269545,3,1,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-092536/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p02__lhsf0p02__encmean__sumglobal__hlasl__agn2p0__ac0p05__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
64,calibration-loss-smoke-260626,calibration-loss-smoke-260626,0.266560,2,1,autoresearch/calibration-loss-smoke-260626/target_metrics.csv,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
65,calibration-policy-260626,calibration-policy-260626,0.266560,2,1,autoresearch/calibration-policy-260626/target_metrics.csv,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
66,diagnostics-calibration-action-260626,diagnostics-calibration-action-260626,0.266560,2,1,autoresearch/diagnostics-calibration-action-260626/target_metrics.csv,autoresearch/stability-hardf1-seeds-2026-2030/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encmean__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
67,lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, softF1=0.0, brier=0.0, asl_gn=4.0, asl_clip=0.02, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.263739,4,1,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-260626-041643/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__lhb0p0__lhsf0p0__encmean__sumglobal__hlasl__agn4p0__ac0p02__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
68,lh0p5__lhc0p12__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.261774,1,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt
69,lh0p45__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.45, lhr=0.5",0.249435,-1,1,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-hardf1-round2-260625-1705/runs/lh0p45__lhc0p1__lhr0p5__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt
70,lh0p5__lhc0p12__lhr0p5__lhrk0p1__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.1, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.245692,1,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt
71,lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.03, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.244321,-2,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
72,lh0p5__lhc0p12__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=mean, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.242716,1,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p0__encmean__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt
73,lh0p5__lhc0p12__lhr0p5__lhrk0p1__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.1, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.241410,-2,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
74,lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.228233,-2,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
75,lh0p5__lhc0p12__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.225027,-2,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p0__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/best.pt
76,lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.03, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.215594,-1,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p03__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/latest.pt
77,lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.194041,4,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
78,lh0p5__lhc0p12__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=global, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.05, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.189399,2,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p05__encgate_dir__sumglobal__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
79,lh0p5__lhc0p12__lhr0p5__lhrk0p1__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.1, negS=5, edgeK=0.6, lhc=0.12, lh=0.5, lhr=0.5",0.188901,3,1,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-routes-260625-rerun/runs/lh0p5__lhc0p12__lhr0p5__lhrk0p1__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_003.pt
80,lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0,"enc=gate_dir, summary=cone, loss=ASL, head=res_ctx, mining=topk, sample=hard_weighted, feat=testability, edge=fault_path, rank=0.0, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.181971,1,1,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-tech-ablation-260626/runs/seed2026__lh0p5__lhc0p1__lhr0p5__lhrk0p0__encgate_dir__sumcone__hlasl__hhresidual_context__pw20__ns5__nmtopk__tshard_weighted__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt
81,lh0p5__lhc0p2__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.2, lh=0.5, lhr=0.5",0.162519,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p2__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p2__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
82,lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.7, lhr=0.2",0.145142,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p2__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
83,lh0p5__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.05, lh=0.5, lhr=0.5",0.139151,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
84,lh0p5__lhc0p0__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.0, lh=0.5, lhr=0.5",0.131828,2,1,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p0__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p0__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_002.pt
85,lh0p5__lhc0p1__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.5, lhr=0.5",0.130330,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p1__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p5__lhc0p1__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
86,lh0p7__lhc0p2__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.2, lh=0.7, lhr=0.5",0.128448,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p2__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p2__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
87,lh0p7__lhc0p0__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.0, lh=0.7, lhr=0.5",0.122545,4,2,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p0__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p0__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
88,lh0p7__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.05, lh=0.7, lhr=0.5",0.119955,1,2,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_001.pt
89,lh0p7__lhc0p1__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.6, lhc=0.1, lh=0.7, lhr=0.5",0.119589,4,2,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
90,lh0p7__lhc0p1__lhr0p5__pw20__ns3__fmtestability__ewfault_path__ek0p6__fc0p0,"feat=testability, edge=fault_path, negS=3, edgeK=0.6, lhc=0.1, lh=0.7, lhr=0.5",0.099330,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p5__pw20__ns3__fmtestability__ewfault_path__ek0p6__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p1__lhr0p5__pw20__ns3__fmtestability__ewfault_path__ek0p6__fc0p0/epoch_004.pt
91,lh0p7__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p8__fc0p0,"feat=testability, edge=fault_path, negS=5, edgeK=0.8, lhc=0.05, lh=0.7, lhr=0.5",0.086729,4,1,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p8__fc0p0/target_metrics.csv,autoresearch/predictive-main-260625-121136/runs/lh0p7__lhc0p05__lhr0p5__pw20__ns5__fmtestability__ewfault_path__ek0p8__fc0p0/epoch_004.pt
