checkpoint_name	benchmark_id	state_id	candidate_strategy	candidate_rank	node	type	action_key	status	oracle_delta_tc	oracle_delta_fault_coverage	oracle_delta_pattern_count	oracle_test_coverage	oracle_fault_coverage	oracle_hard_fault_count	oracle_undetected_fault_count	oracle_error	eval_dir	reward_pred	fc_pred	guarded_reward	return_pred	hard_reduction_total_pred	hybrid_pred	score_pred	pattern_pred	hard_reduction_sa0_pred	hard_reduction_sa1_pred
incumbent	b15_C	initial	cached_hard_cone	41	N16727	control1	N16727::control1	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16727__control1	0.25855404138565063	0.0025855404138565062	0.2217971682548523	0.2217971682548523	-0.06283417344093323	-5.80306613445282	0.25855404138565063	0.3056154251098633	-0.123583123087883	-0.01776072569191456
incumbent	b15_C	initial	cached_hard_cone	42	N16727	observe	N16727::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16727__observe	0.23850290477275848	0.002385029047727585	0.20602326095104218	0.20602326095104218	-0.06920754909515381	-6.47622874379158	0.23850290477275848	0.30690324306488037	-0.12395912408828735	-0.019468778744339943
incumbent	b15_C	initial	cached_hard_cone	43	__buf_split_15	control0	__buf_split_15::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_15__control0	0.2648738622665405	0.0026487386226654052	0.2239551544189453	0.2239551544189453	-0.06434641778469086	-5.9458127617836	0.2648738622665405	0.3065982460975647	-0.12485502660274506	-0.01684684492647648
incumbent	b15_C	initial	cached_hard_cone	44	__buf_split_15	control1	__buf_split_15::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_15__control1	0.2781575322151184	0.002781575322151184	0.2337772697210312	0.2337772697210312	-0.057385530322790146	-5.226618230342865	0.2781575322151184	0.30893224477767944	-0.12495671212673187	-0.01501564122736454
incumbent	b15_C	initial	cached_hard_cone	45	__buf_split_15	observe	__buf_split_15::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_15__observe	0.24225468933582306	0.0024225468933582305	0.20539209246635437	0.20539209246635437	-0.06980308890342712	-6.532662108540535	0.24225468933582306	0.30715030431747437	-0.12431551516056061	-0.019221043214201927
incumbent	b15_C	initial	cached_hard_cone	46	N16729	control0	N16729::control0	ok	0.030550000000000077	0.030550000000000077	0	0.84819	0.84819	3525	3525		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16729__control0	0.24339185655117035	0.0024339185655117036	0.21170414984226227	0.21170414984226227	-0.06945711374282837	-6.490615367889404	0.24339185655117035	0.3052206039428711	-0.12317453324794769	-0.01951342262327671
incumbent	b15_C	initial	cached_hard_cone	47	N16729	control1	N16729::control1	ok	0.030510000000000037	0.030510000000000037	0	0.84815	0.84815	3526	3526		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16729__control1	0.25855398178100586	0.002585539817810059	0.2217971533536911	0.2217971533536911	-0.06283417344093323	-5.803066208958626	0.25855398178100586	0.3056154251098633	-0.12358313798904419	-0.01776072196662426
incumbent	b15_C	initial	cached_hard_cone	48	N16729	observe	N16729::observe	ok	3.0000000000085514e-05	3.0000000000085514e-05	0	0.81767	0.81767	4234	4234		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/N16729__observe	0.23850290477275848	0.002385029047727585	0.2060232311487198	0.2060232311487198	-0.06920754909515381	-6.476228773593903	0.23850290477275848	0.30690324306488037	-0.12395912408828735	-0.019468771293759346
incumbent	b15_C	initial	cached_stride	1	__buf_split_1	control0	__buf_split_1::control0	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control0	0.2648739218711853	0.002648739218711853	0.2239551991224289	0.2239551991224289	-0.06434640288352966	-5.945811167359352	0.2648739218711853	0.3065983057022095	-0.12485504150390625	-0.01684686355292797
incumbent	b15_C	initial	cached_stride	2	__buf_split_1	control1	__buf_split_1::control1	ok	0.030590000000000006	0.030590000000000006	0	0.8482299999999999	0.8482299999999999	3524	3524		autoresearch/oracle-action-probe-260629-smoke/evals/b15_C/initial/__buf_split_1__control1	0.2781575322151184	0.002781575322151184	0.23377731442451477	0.23377731442451477	-0.05738551542162895	-5.226616695523262	0.2781575322151184	0.30893218517303467	-0.12495674192905426	-0.015015656128525734
