dataset	x	y	n	x_mean	y_mean	pearson	spearman	group
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	0.14318997272796619	0.0009749999999999	0.9999919693111483	1.0	subckt_0018
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.4564038634352976	0.0006283333333332429	0.9999995426182651	0.9999999999999998	subckt_0020
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.075168848901318	-0.0001813888888888889	0.9999995852402709	1.0	subckt_0021
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	72	-0.035654945141750514	-7.319444444458189e-05	0.9999970604549463	1.0	subckt_0022
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	7.004632991988412	0.008579444444444433	0.9999992610135958	0.9999999999999998	subckt_0038
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-3.2091424733029714	-0.004032222222222187	0.9999997766809294	1.0	subckt_0041
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	0.3112433597860542	0.0005483333333333353	0.9999997054764158	1.0	subckt_0043
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.23074861490368714	0.00048388888888886385	0.9999980851211584	1.0	subckt_0044
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	108	-3.9475411846017825	-0.02406787037037039	0.9999996850215799	1.0	subckt_0048
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-0.7616611532493041	-0.0016998148148148148	0.9999973720560553	1.0	subckt_0049
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	108	-0.646082300344074	-0.0029915740740740797	0.9999999970260322	1.0	subckt_0062
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.008169512158366964	2.861111111123334e-05	0.9999997134410288	1.0	subckt_0066
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	108	-0.11467806139732792	-0.0002047222222222921	0.9999999975928039	0.9999999999999999	subckt_0069
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-1.224608383648518	-0.00828000000000002	0.9999999441105372	0.9999999999999999	subckt_0081
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	2.336338221804594	0.005372222222222082	0.9999975142702165	1.0	subckt_0083
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	0.9084561880813341	0.005628148148148138	0.9999985342247639	0.9999999999999999	subckt_0086
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	1.753322633108083	0.005473518518518484	0.9999996434818148	1.0	subckt_0103
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.6749198653198601	0.004207222222222173	0.9999983533873855	0.9999999999999998	subckt_0107
