dataset	group	x	y	n	x_mean	y_mean	pearson	spearman	x_min	x_max	y_min	y_max
oracle_balanced_train_wide	subckt_0322	oracle_hard_fault_count	oracle_undetected_fault_count	36	19.86111111111111	19.86111111111111	1.0	1.0	18	21	18.0	21.0
oracle_balanced_train_wide	subckt_0324	oracle_hard_fault_count	oracle_test_coverage	36	7.027777777777778	0.98532	-0.9969038721014093	-0.3464101615137754	7	8	0.98326	0.98542
oracle_balanced_train_wide	subckt_0324	oracle_hard_fault_count	oracle_fault_coverage	36	7.027777777777778	0.98532	-0.9969038721014093	-0.3464101615137754	7	8	0.98326	0.98542
oracle_balanced_train_wide	subckt_0324	oracle_hard_fault_count	oracle_delta_tc	36	7.027777777777778	2.99999999999791e-05	-0.9969038721014155	-0.3464101615137754	7	8	-0.00203	0.0001299999999999
oracle_balanced_train_wide	subckt_0324	oracle_hard_fault_count	oracle_delta_fault_coverage	36	7.027777777777778	2.99999999999791e-05	-0.9969038721014155	-0.3464101615137754	7	8	-0.00203	0.0001299999999999
oracle_balanced_train_wide	subckt_0324	oracle_hard_fault_count	oracle_undetected_fault_count	36	7.027777777777778	7.027777777777778	0.9999999999999998	1.0	7	8	7.0	8.0
oracle_balanced_train_wide	subckt_0327	oracle_hard_fault_count	oracle_test_coverage	54	11.11111111111111	0.9644870370370369	-0.9999754502229709	-0.9980606659710765	5	21	0.93269	0.98408
oracle_balanced_train_wide	subckt_0327	oracle_hard_fault_count	oracle_fault_coverage	54	11.11111111111111	0.9644870370370369	-0.9999754502229709	-0.9980606659710765	5	21	0.93269	0.98408
oracle_balanced_train_wide	subckt_0327	oracle_hard_fault_count	oracle_delta_tc	54	11.11111111111111	0.019327037037037028	-0.9999754502229709	-0.9980606659710765	5	21	-0.0124699999999999	0.03892
oracle_balanced_train_wide	subckt_0327	oracle_hard_fault_count	oracle_delta_fault_coverage	54	11.11111111111111	0.019327037037037028	-0.9999754502229709	-0.9980606659710765	5	21	-0.0124699999999999	0.03892
oracle_balanced_train_wide	subckt_0327	oracle_hard_fault_count	oracle_undetected_fault_count	54	11.11111111111111	11.11111111111111	1.0	1.0	5	21	5.0	21.0
oracle_balanced_train_wide	subckt_0332	oracle_hard_fault_count	oracle_test_coverage	36	2.9444444444444446	0.9941374999999998	-0.9999291179010641	-0.525381039430488	0	4	0.99206	1.0
oracle_balanced_train_wide	subckt_0332	oracle_hard_fault_count	oracle_fault_coverage	36	2.9444444444444446	0.9941374999999998	-0.9999291179010641	-0.525381039430488	0	4	0.99206	1.0
oracle_balanced_train_wide	subckt_0332	oracle_hard_fault_count	oracle_delta_tc	36	2.9444444444444446	0.00013749999999990351	-0.9999291179010645	-0.525381039430488	0	4	-0.00194	0.0059999999999998
oracle_balanced_train_wide	subckt_0332	oracle_hard_fault_count	oracle_delta_fault_coverage	36	2.9444444444444446	0.00013749999999990351	-0.9999291179010645	-0.525381039430488	0	4	-0.00194	0.0059999999999998
oracle_balanced_train_wide	subckt_0332	oracle_hard_fault_count	oracle_undetected_fault_count	36	2.9444444444444446	2.9444444444444446	1.0	1.0	0	4	0.0	4.0
oracle_balanced_train_wide	subckt_0338	oracle_hard_fault_count	oracle_test_coverage	108	8.37962962962963	0.9786475925925926	-0.9999681365424493	-0.9897123612750156	5	13	0.96684	0.98724
oracle_balanced_train_wide	subckt_0338	oracle_hard_fault_count	oracle_fault_coverage	108	8.37962962962963	0.9786475925925926	-0.9999681365424493	-0.9897123612750156	5	13	0.96684	0.98724
oracle_balanced_train_wide	subckt_0338	oracle_hard_fault_count	oracle_delta_tc	108	8.37962962962963	-0.0034024074074074226	-0.9999681365424479	-0.9897123612750156	5	13	-0.01521	0.00519
oracle_balanced_train_wide	subckt_0338	oracle_hard_fault_count	oracle_delta_fault_coverage	108	8.37962962962963	-0.0034024074074074226	-0.9999681365424479	-0.9897123612750156	5	13	-0.01521	0.00519
oracle_balanced_train_wide	subckt_0338	oracle_hard_fault_count	oracle_undetected_fault_count	108	8.37962962962963	8.37962962962963	1.0	1.0	5	13	5.0	13.0
oracle_balanced_train_wide	subckt_0360	oracle_hard_fault_count	oracle_test_coverage	108	253.57407407407408	0.6871689814814814	-0.9992722764430642	-0.9284026997905878	217	258	0.68148	0.7321
oracle_balanced_train_wide	subckt_0360	oracle_hard_fault_count	oracle_fault_coverage	108	253.57407407407408	0.6871689814814814	-0.9992722764430642	-0.9284026997905878	217	258	0.68148	0.7321
oracle_balanced_train_wide	subckt_0360	oracle_hard_fault_count	oracle_delta_tc	108	253.57407407407408	0.003998981481481507	-0.9992722764430647	-0.9284026997905878	217	258	-0.0016899999999999	0.04893
oracle_balanced_train_wide	subckt_0360	oracle_hard_fault_count	oracle_delta_fault_coverage	108	253.57407407407408	0.003998981481481507	-0.9992722764430647	-0.9284026997905878	217	258	-0.0016899999999999	0.04893
oracle_balanced_train_wide	subckt_0360	oracle_hard_fault_count	oracle_undetected_fault_count	108	253.57407407407408	253.57407407407408	1.0	1.0	217	258	217.0	258.0
oracle_balanced_train_wide	subckt_0364	oracle_hard_fault_count	oracle_test_coverage	36	5.083333333333333	0.9898019444444444	-0.9997392643404421	-0.525381039430488	5	7	0.986	0.99
oracle_balanced_train_wide	subckt_0364	oracle_hard_fault_count	oracle_fault_coverage	36	5.083333333333333	0.9898019444444444	-0.9997392643404421	-0.525381039430488	5	7	0.986	0.99
oracle_balanced_train_wide	subckt_0364	oracle_hard_fault_count	oracle_delta_tc	36	5.083333333333333	-0.00011805555555561484	-0.9997392643404447	-0.525381039430488	5	7	-0.00392	7.999999999996898e-05
oracle_balanced_train_wide	subckt_0364	oracle_hard_fault_count	oracle_delta_fault_coverage	36	5.083333333333333	-0.00011805555555561484	-0.9997392643404447	-0.525381039430488	5	7	-0.00392	7.999999999996898e-05
oracle_balanced_train_wide	subckt_0364	oracle_hard_fault_count	oracle_undetected_fault_count	36	5.083333333333333	5.083333333333333	1.0	1.0	5	7	5.0	7.0
oracle_balanced_train_wide	subckt_0370	oracle_hard_fault_count	oracle_test_coverage	108	198.94444444444446	0.33378333333333327	-0.9884695047779338	-0.9439611732657964	179	201	0.3254999999999999	0.4033299999999999
oracle_balanced_train_wide	subckt_0370	oracle_hard_fault_count	oracle_fault_coverage	108	198.94444444444446	0.33378333333333327	-0.9884695047779338	-0.9439611732657964	179	201	0.3254999999999999	0.4033299999999999
oracle_balanced_train_wide	subckt_0370	oracle_hard_fault_count	oracle_delta_tc	108	198.94444444444446	0.006083333333333269	-0.9884695047779354	-0.9439611732657964	179	201	-0.0022	0.0756299999999999
oracle_balanced_train_wide	subckt_0370	oracle_hard_fault_count	oracle_delta_fault_coverage	108	198.94444444444446	0.006083333333333269	-0.9884695047779354	-0.9439611732657964	179	201	-0.0022	0.0756299999999999
oracle_balanced_train_wide	subckt_0370	oracle_hard_fault_count	oracle_undetected_fault_count	108	198.94444444444446	198.94444444444446	1.0	1.0	179	201	179.0	201.0
oracle_balanced_train_wide	subckt_0373	oracle_hard_fault_count	oracle_test_coverage	108	23.10185185185185	0.7500433333333332	-0.9997329870488254	-0.9869336811500448	0	29	0.6847799999999999	1.0
