benchmark_id	state_id	candidate_strategy	node	type	action_key	oracle_delta_tc	reward_pred	guarded_reward	hard_reduction_total_pred	hybrid_pred	status
b15_C	initial	cached_hard_cone	__buf_split_11	observe	__buf_split_11::observe	3.0000000000085514e-05	0.24225462973117828	0.20539207756519318	-0.06980310380458832	-6.53266367316246	ok
b15_C	initial	cached_hard_cone	N16725	control0	N16725::control0	0.030550000000000077	0.24339185655117035	0.21170414984226227	-0.06945711374282837	-6.490615367889404	ok
b15_C	initial	cached_hard_cone	N16725	control1	N16725::control1	0.030510000000000037	0.25855404138565063	0.2217971682548523	-0.06283417344093323	-5.80306613445282	ok
b15_C	initial	cached_hard_cone	N16725	observe	N16725::observe	3.0000000000085514e-05	0.23850293457508087	0.2060232311487198	-0.06920754909515381	-6.47622874379158	ok
b15_C	initial	cached_hard_cone	__buf_split_13	control0	__buf_split_13::control0	0.030590000000000006	0.2648738622665405	0.2239551544189453	-0.06434641778469086	-5.9458127617836	ok
b15_C	initial	cached_hard_cone	__buf_split_13	control1	__buf_split_13::control1	0.030590000000000006	0.2781575918197632	0.2337772697210312	-0.057385530322790146	-5.22661817073822	ok
b15_C	initial	cached_hard_cone	__buf_split_13	observe	__buf_split_13::observe	3.0000000000085514e-05	0.24225468933582306	0.20539209246635437	-0.06980308890342712	-6.532662108540535	ok
b15_C	initial	cached_hard_cone	N16727	control0	N16727::control0	0.030550000000000077	0.24339188635349274	0.21170412003993988	-0.06945708394050598	-6.4906123876571655	ok
b15_C	initial	cached_hard_cone	N16727	control1	N16727::control1	0.030550000000000077	0.25855404138565063	0.2217971682548523	-0.06283417344093323	-5.80306613445282	ok
b15_C	initial	cached_hard_cone	N16727	observe	N16727::observe	3.0000000000085514e-05	0.23850290477275848	0.20602326095104218	-0.06920754909515381	-6.47622874379158	ok
b15_C	initial	cached_hard_cone	__buf_split_15	control0	__buf_split_15::control0	0.030590000000000006	0.2648738622665405	0.2239551544189453	-0.06434641778469086	-5.9458127617836	ok
b15_C	initial	cached_hard_cone	__buf_split_15	control1	__buf_split_15::control1	0.030590000000000006	0.2781575322151184	0.2337772697210312	-0.057385530322790146	-5.226618230342865	ok
b15_C	initial	cached_hard_cone	__buf_split_15	observe	__buf_split_15::observe	3.0000000000085514e-05	0.24225468933582306	0.20539209246635437	-0.06980308890342712	-6.532662108540535	ok
b15_C	initial	cached_hard_cone	N16729	control0	N16729::control0	0.030550000000000077	0.24339185655117035	0.21170414984226227	-0.06945711374282837	-6.490615367889404	ok
b15_C	initial	cached_hard_cone	N16729	control1	N16729::control1	0.030510000000000037	0.25855398178100586	0.2217971533536911	-0.06283417344093323	-5.803066208958626	ok
b15_C	initial	cached_hard_cone	N16729	observe	N16729::observe	3.0000000000085514e-05	0.23850290477275848	0.2060232311487198	-0.06920754909515381	-6.476228773593903	ok
b15_C	initial	hard_fault_recall_union	N7401	control0	N7401::control0	0.030120000000000036	0.29956960678100586	0.2626439929008484	-0.04428338631987572	-3.8661250323057175	ok
b15_C	initial	hard_fault_recall_union	N7401	control1	N7401::control1	0.030550000000000077	0.32715314626693726	0.2794768810272217	-0.02206028625369072	-1.599398598074913	ok
b15_C	initial	hard_fault_recall_union	N7401	observe	N7401::observe	0.00503000000000009	0.23313100636005402	0.2064833790063858	-0.06936737895011902	-6.497123509645462	ok
b15_C	initial	hard_fault_recall_union	N7402	control0	N7402::control0	0.030470000000000108	0.29953593015670776	0.2626067101955414	-0.04429323598742485	-3.867180958390236	ok
b15_C	initial	hard_fault_recall_union	N7402	control1	N7402::control1	0.03068000000000004	0.32712072134017944	0.27945980429649353	-0.02205653116106987	-1.599072590470314	ok
b15_C	initial	hard_fault_recall_union	N7402	observe	N7402::observe	0.02027000000000001	0.23307769000530243	0.2064507156610489	-0.06937256455421448	-6.497728049755096	ok
b15_C	initial	hard_fault_recall_union	N16713	control0	N16713::control0	0.030470000000000108	0.3371542692184448	0.28261950612068176	-0.013908863067626953	-0.7711125314235687	ok
b15_C	initial	hard_fault_recall_union	N16713	control1	N16713::control1	0.02960000000000007	0.30642086267471313	0.2546406388282776	-0.03483876213431358	-2.9228147119283676	ok
b15_C	initial	hard_fault_recall_union	N16713	observe	N16713::observe	0.00012000000000000899	0.29142361879348755	0.240434929728508	-0.04526035115122795	-3.9941765666007996	ok
b15_C	initial	hard_fault_recall_union	N7454	control0	N7454::control0	0.030510000000000037	0.31129324436187744	0.273235559463501	-0.03371327742934227	-2.7867989391088486	ok
b15_C	initial	hard_fault_recall_union	N7454	control1	N7454::control1	0.030590000000000006	0.34039556980133057	0.2851656675338745	-0.01624230667948723	-0.9986694306135178	ok
b15_C	initial	hard_fault_recall_union	N7454	observe	N7454::observe	0.0024300000000001543	0.2670915722846985	0.22660796344280243	-0.057813610881567	-5.287661552429199	ok
b15_C	initial	hard_fault_recall_union	N7511	control0	N7511::control0	0.030510000000000037	0.27042561769485474	0.23753784596920013	-0.05777197703719139	-5.269234240055084	ok
b15_C	initial	hard_fault_recall_union	N7511	control1	N7511::control1	0.030510000000000037	0.29604893922805786	0.25624120235443115	-0.045024123042821884	-3.9501221626996994	ok
b15_C	initial	hard_fault_recall_union	N7511	observe	N7511::observe	0.010970000000000146	0.23104186356067657	0.20485323667526245	-0.07013007998466492	-6.577112898230553	ok
b15_C	initial	hard_fault_recall_union	N15715	control0	N15715::control0	0.030510000000000037	0.32461708784103394	0.28022491931915283	-0.02234102413058281	-1.6292604058980942	ok
b15_C	initial	hard_fault_recall_union	N15715	control1	N15715::control1	0.029950000000000032	0.3076082468032837	0.2610597312450409	-0.034150030463933945	-2.84633506834507	ok
b15_C	initial	hard_fault_recall_union	N15715	observe	N15715::observe	0.060020000000000184	0.26371830701828003	0.22037114202976227	-0.056784216314554214	-5.194332182407379	ok
b15_C	initial	hard_fault_recall_union	N10916	control0	N10916::control0	0.030510000000000037	0.2718176245689392	0.24025554955005646	-0.057983655482530594	-5.286292374134064	ok
b15_C	initial	hard_fault_recall_union	N10916	control1	N10916::control1	0.030510000000000037	0.29730844497680664	0.2578279972076416	-0.04487257078289986	-3.9321206361055374	ok
b15_C	initial	hard_fault_recall_union	N10916	observe	N10916::observe	0.009080000000000088	0.23208527266979218	0.20721837878227234	-0.07028473913669586	-6.589170262217522	ok
b15_C	initial	hard_fault_recall_union	N10901	control0	N10901::control0	0.030810000000000115	0.29878801107406616	0.26617372035980225	-0.0446603037416935	-3.9010686427354813	ok
b15_C	initial	hard_fault_recall_union	N10901	control1	N10901::control1	0.030470000000000108	0.31150561571121216	0.27260345220565796	-0.03276033326983452	-2.6919242590665817	ok
b15_C	initial	hard_fault_recall_union	N10901	observe	N10901::observe	0.051490000000000036	0.23229840397834778	0.21005623042583466	-0.0698917806148529	-6.546823427081108	ok
b15_C	initial	hard_fault_recall_union	N10902	control0	N10902::control0	0.030810000000000115	0.2665197253227234	0.22667251527309418	-0.057759229093790054	-5.282730668783188	ok
b15_C	initial	hard_fault_recall_union	N10902	control1	N10902::control1	0.030470000000000108	0.264506995677948	0.21952974796295166	-0.056932564824819565	-5.209219738841057	ok
b15_C	initial	hard_fault_recall_union	N10902	observe	N10902::observe	0.050550000000000095	0.26142311096191406	0.21680273115634918	-0.056901659816503525	-5.211940139532089	ok
b15_C	initial	hard_fault_recall_union	__buf_split_6336	control0	__buf_split_6336::control0	0.030510000000000037	0.23165662586688995	0.19343818724155426	-0.07096324861049652	-6.671230047941208	ok
b15_C	initial	hard_fault_recall_union	__buf_split_6336	control1	__buf_split_6336::control1	0.030510000000000037	0.20161142945289612	0.17008599638938904	-0.06930987536907196	-6.559290111064911	ok
b15_C	initial	hard_fault_recall_union	__buf_split_6336	observe	__buf_split_6336::observe	0.003310000000000035	0.20037080347537994	0.16498172283172607	-0.07160426676273346	-6.79507414996624	ok
b15_C	initial	hard_fault_recall_union	N6666	control0	N6666::control0	0.030810000000000115	0.2989082932472229	0.26627153158187866	-0.04469836875796318	-3.9046570509672165	ok
b15_C	initial	hard_fault_recall_union	N6666	control1	N6666::control1	0.030510000000000037	0.31154173612594604	0.2726209759712219	-0.03279310092329979	-2.695147380232811	ok
b15_C	initial	hard_fault_recall_union	N6666	observe	N6666::observe	0.06855000000000011	0.23240526020526886	0.2100413292646408	-0.06991252303123474	-6.5488057136535645	ok
b15_C	initial	hard_fault_recall_union	N6538	control0	N6538::control0	0.030510000000000037	0.3648339509963989	0.29356691241264343	-0.0018807090818881989	0.4703299552202225	ok
b15_C	initial	hard_fault_recall_union	N6538	control1	N6538::control1	0.03064000000000011	0.37366247177124023	0.29674971103668213	0.0063741691410541534	1.3078290969133377	ok
b15_C	initial	hard_fault_recall_union	N6538	observe	N6538::observe	0.06854000000000005	0.3106147050857544	0.27014851570129395	-0.03383130952715874	-2.8023677319288254	ok
b15_C	initial	hard_fault_recall_union	N7512	control0	N7512::control0	0.030510000000000037	0.300632119178772	0.26506930589675903	-0.04483270272612572	-3.9175688475370407	ok
b15_C	initial	hard_fault_recall_union	N7512	control1	N7512::control1	0.030510000000000037	0.32790815830230713	0.27993589639663696	-0.022227000445127487	-1.6148559898138046	ok
b15_C	initial	hard_fault_recall_union	N7512	observe	N7512::observe	0.007100000000000106	0.23347799479961395	0.20823797583580017	-0.06990540027618408	-6.548824056982994	ok
b15_C	initial	hard_fault_recall_union	N15703	control0	N15703::control0	0.030550000000000077	0.32451486587524414	0.2800747752189636	-0.022326897829771042	-1.6281001418828964	ok
b15_C	initial	hard_fault_recall_union	N15703	control1	N15703::control1	0.029950000000000032	0.30753183364868164	0.26086336374282837	-0.03415227308869362	-2.846832111477852	ok
b15_C	initial	hard_fault_recall_union	N15703	observe	N15703::observe	0.018550000000000066	0.2636064291000366	0.22012190520763397	-0.05675436928868294	-5.191708594560623	ok
b15_C	initial	hard_fault_recall_union	N10909	control0	N10909::control0	0.030510000000000037	0.3167305588722229	0.2796497941017151	-0.03365792706608772	-2.7694123536348343	ok
b15_C	initial	hard_fault_recall_union	N10909	control1	N10909::control1	0.030510000000000037	0.3291483521461487	0.2813809812068939	-0.022320661693811417	-1.621536836028099	ok
b15_C	initial	hard_fault_recall_union	N10909	observe	N10909::observe	0.00727000000000011	0.23452571034431458	0.21040664613246918	-0.07044371962547302	-6.5994396060705185	ok
b15_C	initial	hard_fault_recall_union	N10915	control0	N10915::control0	0.030510000000000037	0.3175681233406067	0.28010886907577515	-0.03354305401444435	-2.7566284090280533	ok
b15_C	initial	hard_fault_recall_union	N10915	control1	N10915::control1	0.030510000000000037	0.3299177885055542	0.2817735970020294	-0.02225073054432869	-1.6133816689252853	ok
b15_C	initial	hard_fault_recall_union	N10915	observe	N10915::observe	0.007100000000000106	0.2524343729019165	0.22160375118255615	-0.06413520872592926	-5.939482748508453	ok
i2c_aig	initial	cached_stride	N136	control0	N136::control0	-0.043749999999999956	0.24632011353969574	0.21925735473632812	-0.039351385086774826	-3.4695610404014587	ok
i2c_aig	initial	cached_stride	N136	control1	N136::control1	-0.012790000000000079	0.24770303070545197	0.2204662412405014	-0.03890351578593254	-3.4221823066473007	ok
i2c_aig	initial	cached_stride	N136	observe	N136::observe	2.999999999997449e-05	0.24808494746685028	0.22447332739830017	-0.030810263007879257	-2.6084680259227753	ok
i2c_aig	initial	cached_stride	N2082	control0	N2082::control0	-0.027490000000000125	0.28750336170196533	0.28750336170196533	-0.0016253851354122162	0.4348730593919754	ok
i2c_aig	initial	cached_stride	N2082	control1	N2082::control1	-0.027800000000000047	0.2862939238548279	0.2862939238548279	-0.0012546367943286896	0.474085196852684	ok
i2c_aig	initial	cached_stride	N2082	observe	N2082::observe	5.999999999994898e-05	0.3069877028465271	0.3069877028465271	0.025787439197301865	3.2197545021772385	ok
i2c_aig	initial	cached_stride	N2235	control0	N2235::control0	-0.027800000000000047	0.29795873165130615	0.29795873165130615	0.016562361270189285	2.2785645872354507	ok
i2c_aig	initial	cached_stride	N2235	control1	N2235::control1	-0.027800000000000047	0.31077057123184204	0.31077057123184204	0.026123251765966415	3.261810079216957	ok
i2c_aig	initial	cached_stride	N2235	observe	N2235::observe	5.999999999994898e-05	0.3065314292907715	0.3065314292907715	0.026057753711938858	3.2428738325834274	ok
i2c_aig	initial	cached_stride	N252	control0	N252::control0	-0.027800000000000047	0.3231567144393921	0.3231567144393921	0.06541207432746887	7.240561813116074	ok
i2c_aig	initial	cached_stride	N252	control1	N252::control1	-0.027800000000000047	0.2929428219795227	0.2929428219795227	0.029725555330514908	3.5930574983358383	ok
i2c_aig	initial	cached_stride	N252	observe	N252::observe	5.999999999994898e-05	0.32519274950027466	0.32519274950027466	0.0756273865699768	8.267587333917618	ok
